Using Techfile: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
Using layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
[INFO] Reading tech file: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
[INFO] Reading Layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362908086, record number=27591684, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362993526, record number=27591984, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363087542, record number=27592879, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363172982, record number=27593179, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363789686, record number=27617959, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363908342, record number=27618159, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364057478, record number=27619099, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364142918, record number=27619399, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364237366, record number=27620319, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364322806, record number=27620619, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364417478, record number=27621539, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364502918, record number=27621839, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365154966, record number=27646329, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365240406, record number=27646629, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365361718, record number=27648004, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365480374, record number=27648204, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365637590, record number=27649144, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365723030, record number=27649444, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365817222, record number=27650349, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=365902662, record number=27650649, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=366670278, record number=27678119, cell=XOR)
